restaurant.R.res_id,restaurant.nam,restaurant.cuisi,restaurant.average_cost_for_two,restaurant.location.locality,restaurant.location.city,restaurant.location.add,restaurant.location.latitud,restaurant.location.longitud,restaurant.user_rating.aggregate_rating,restaurant.user_rating.rating_tex,restaurant.menu_url
18369252,Pakwan Chennai,"North Indian, Chinese, Italian",1200,T. Nagar,Chennai,"10, Kuppuswamy Street, G N Chetty Road, T. Nagar, Chennai",13.04489254,80.23883656,4.2,Very Good,https://www.zomato.com/chennai/pakwan-chennai-t-nagar/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
66412,Mathsya,"South Indian, North Indian, Chinese, Beverages",900,Egmore,Chennai,"1, Halls Road, Egmore, Chennai",13.07501065,80.25781788,4.1,Very Good,https://www.zomato.com/chennai/mathsya-egmore/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
68908,Welcome Hotel,South Indian,250,Purasavakkam,Chennai,"112/241, Purasawalkam High Road, Purasavakkam, Chennai.",13.085869,80.25462069,4.5,Excellent,https://www.zomato.com/chennai/welcome-hotel-purasavakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18752364,Kappa Chakka Kandhari,Kerala,600,Nungambakkam,Chennai,"10, Haddows Road, Opposite to Shastri Bhavan, Nungambakkam, Chennai",13.06366486,80.24789941,4.6,Excellent,https://www.zomato.com/chennai/kappa-chakka-kandhari-1-nungambakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
71664,Dakshin - Crowne Plaza Chennai Adyar Park,"South Indian, Kerala, Andhra",2500,"Crowne Plaza Chennai Adyar Park, Alwarpet",Chennai,"Crowne Plaza Chennai Adyar Park, TTK Road, Austin Nagar, Alwarpet, Chennai",13.02936893,80.24921738,4.8,Excellent,https://www.zomato.com/chennai/dakshin-crowne-plaza-chennai-adyar-park-alwarpet/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18361802,Abid's,"Seafood, Biryani, Hyderabadi, Arabian",800,Chetpet,Chennai,"21, Spurtank Road, Chetpet, Chennai",13.07136758,80.25038179,4.2,Very Good,https://www.zomato.com/chennai/abids-chetpet/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
66419,Wild Garden Cafe - Amethyst,"Cafe, Italian, Continental",1400,Royapettah,Chennai,"Whites Road, Royapettah, Chennai ",13.05722424,80.25920492,4.4,Very Good,https://www.zomato.com/chennai/wild-garden-cafe-amethyst-royapettah/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
69116,Bombay Lassi,Street Food,100,Triplicane,Chennai,"8, Bahar Agan Street, Anna Salai, Ellis Road, Behind Devi Theatre, Triplicane, Chennai",13.06601212,80.27112398,4.8,Excellent,https://www.zomato.com/chennai/bombay-lassi-1-triplicane/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
66330,Kakada Ramprasad,"Mithai, Street Food",450,Sowcarpet,Chennai,"348/343, Ground Floor, Mint Street, Sowcarpet, Chennai",13.09024532,80.27898856,4.4,Very Good,https://www.zomato.com/chennai/kakada-ramprasad-sowcarpet/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18423043,Dhaba Estd 1986 Delhi,North Indian,1500,"Ispahani Centre, Nungambakkam",Chennai,"Bearing Door 123 - 124, Ishpahani Centre, Nungambakkam High Road, Nungambakkam, Chennai",13.05505197,80.24970621,4.6,Excellent,https://www.zomato.com/chennai/dhaba-estd-1986-delhi-nungambakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18437170,Nasi And Mee,"Singaporean, Malaysian, Chinese, Asian, Thai, Momos",1200,Nungambakkam,Chennai,"Kedar khan road, nungambakkam, chennai",13.06076399,80.24971392,4.6,Excellent,https://www.zomato.com/chennai/nasi-and-mee-nungambakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
67408,Board Walk - Ramada,"North Indian, Continental, Cafe",1650,"Ramada, Egmore",Chennai,"2A Poniamman koil street, Egmore, Chennai-600008",13.0765998,80.2647819,4.2,Very Good,https://www.zomato.com/chennai/board-walk-ramada-egmore/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
66005,Quintessence - Hotel Raj Park Chennai,"North Indian, Continental",1200,"Hotel Rajpark, Alwarpet",Chennai,"Hotel Raj Park #180, TTK Road, Alwarpet, Chennai",13.04418181,80.25935914,4.1,Very Good,https://www.zomato.com/chennai/quintessence-hotel-raj-park-chennai-alwarpet/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
69635,Links,"Fast Food, Street Food",250,Purasavakkam,Chennai,"22, Raja Annamalai Road, Purasavakkam, Chennai",13.07924151,80.25451642,4.3,Very Good,https://www.zomato.com/chennai/links-purasavakkam/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
66334,Novelty Tea House,"North Indian, South Indian, Street Food, Continental, Fast Food",800,Sowcarpet,Chennai,"175, Mint Street, Sowcarpet, Chennai",13.08912063,80.27881622,4.1,Very Good,https://www.zomato.com/chennai/novelty-tea-house-sowcarpet/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
65530,Shree Mithai,"Mithai, Street Food, Fast Food",300,Chetpet,Chennai,"18, Dr TV Road, Chetpet, Chennai",13.07213473,80.2477425,4.6,Excellent,https://www.zomato.com/chennai/shree-mithai-chetpet/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
70890,Fusilli Reasons,Italian,400,Kilpauk,Chennai,"2/64, Ormes Main Road, Kilpauk, Chennai",13.08144068,80.24889752,4.6,Excellent,https://www.zomato.com/chennai/fusilli-reasons-kilpauk/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18648090,Madras2Chennai,"Biryani, Mughlai, North Indian, Chinese, Chettinad, Lebanese",600,Washermenpet,Chennai,"183/4 (601), T.H Road, Opposite Apollo Hospital, Tondiarpet, Washermenpet, Chennai",13.12898221,80.29102027,3.7,Good,https://www.zomato.com/chennai/madras2chennai-washermenpet/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
67329,Buhari,"North Indian, Chinese",600,Triplicane,Chennai,"83, Anna Salai, Mount Road, Triplicane, Chennai",13.06620481,80.26848234,3.8,Good,https://www.zomato.com/chennai/buhari-triplicane/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
66312,National Durbar Restaurant,"North Indian, Chinese",350,Park Town,Chennai,"3, Raja Muthiah Road, Opposite Corporation, Near Central Railway Station, Park Town, Chennai",13.08087505,80.27087018,4.1,Very Good,https://www.zomato.com/chennai/national-durbar-restaurant-park-town/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
